snapshot_time,product_id,sellPrice,buyPrice,sellVolume,buyVolume,sellMovingWeek,buyMovingWeek,sellOrders,buyOrders
2025-04-28 18:24:02,ENDER_MONOCLE,10004.297058823531,24982.73804347826,14119,4361,20798,22392,161,409
2025-04-28 18:24:02,KELVIN_INVERTER,92139.12620513908,199458.3015625,177351,2867,11230,6111,222,82
2025-04-28 18:24:02,X,5000.1,14637.3,6532,4057,22476,23002,2,12
2025-04-28 18:24:02,REFINED_DIAMOND,683928.7229398662,716155.4252321982,9272,9016,54105,73720,75,155
2025-04-28 18:24:02,Y,50000.8,68610.8,3654,683,15346,17843,9,10
2025-04-28 18:24:02,Z,66848.61974522294,93998.21186440678,108105,2330,7862,9946,92,23
2025-04-28 18:24:02,HAZMAT_ENDERMAN,0.0,5443.185,0,6774,9760,8663,0,248
2025-04-28 18:24:02,LUXURIOUS_SPOOL,0.7,992.0210144927536,5160,4193,32317,34075,21,101
2025-04-28 18:24:02,FLAWED_OPAL_GEM,258.4923211730648,407.230199613651,6768220,49475,5682290,1727,161,21
2025-04-28 18:24:02,ENCHANTMENT_CAYENNE_3,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,PORK,19.32950186159969,84.5,2038485,804181,5120696,3320175,55,232
2025-04-28 18:24:02,ENCHANTMENT_CAYENNE_2,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_CAYENNE_1,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,FLAMES,30000.0,43704.24772727272,14740,15739,24015,11590,15,132
2025-04-28 18:24:02,ENCHANTMENT_ENDER_SLAYER_1,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ULTIMATE_CARROT_CANDY,2764529.0,2904999.9990415336,870,1002,2534,26886,18,11
2025-04-28 18:24:02,HONEY_JAR,4311.010092386855,5957.8431929824565,58434,112515,173839,129203,14,325
2025-04-28 18:24:02,PET_CAKE,11380.390851233095,78521.38214285715,52463,272,7866,4341,343,99
2025-04-28 18:24:02,SOLAR_PANEL,171025.9772396328,398997.7,12179,709,1789,1634,81,25
2025-04-28 18:24:02,ENCHANTMENT_LAPIDARY_4,4585007.1,7999997.7,46,8,6,46,12,7
2025-04-28 18:24:02,ENCHANTMENT_LAPIDARY_3,2400001.1,4799998.6,28,13,17,65,16,7
2025-04-28 18:24:02,ENCHANTMENT_LAPIDARY_2,100004.1,1719998.4,175,10,28,73,31,9
2025-04-28 18:24:02,ENCHANTMENT_LAPIDARY_1,680117.3963235293,710748.8027027027,18987,1714,9877,5519,1103,395
2025-04-28 18:24:02,ENCHANTMENT_FIRE_ASPECT_1,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,LOG_2:1,0.5,3.834095443692147,862317,1581938,18215287,3404317,13,60
2025-04-28 18:24:02,UNDEAD_CATALYST,1464.9004054630816,5419.4998399999995,140457,21006,38537,3097,17,138
2025-04-28 18:24:02,ENCHANTMENT_TURBO_CACTUS_5,22150.2,129999.8875,47,138,64,370,8,37
2025-04-28 18:24:02,ENCHANTED_SNOW_BLOCK,564.3498545573069,597.6557925110417,7673571,22017787,106941147,23166783,222,656
2025-04-28 18:24:02,ENCHANTMENT_TURBO_CACTUS_4,1.200790513833992,124997.79090909091,1022,160,7,48,6,35
2025-04-28 18:24:02,OLD_LEATHER_BOOT,242334.85303550973,309264.89746192895,787972,2661,8891,7120,240,39
2025-04-28 18:24:02,ENCHANTMENT_TURBO_CACTUS_3,0.0,45925.68333333333,0,103,15,75,0,18
2025-04-28 18:24:02,ENCHANTMENT_TURBO_CACTUS_2,0.2,12911.8,32,35,72,33,2,14
2025-04-28 18:24:02,ENCHANTMENT_FIRE_ASPECT_2,0.0,0.0,0,0,0,0,0,0
